,IDnum,GSSyear,sex,race,Age,maritalstatus,PlaceLived16,Region16,BornHere,ageism,racism,HighestDegree,DegreeField,baEarnRate,collStudEnroll,colltype,income,hrsLastWk,jobstatus,selfEmploy,GovOrPriv,IndusCode,pctColleagueWdegree,prestige
3483,829,2,Female,Black,26,Separated,Big-city suburb,E. sou. central,1,No,No,Junior college,Business,NA,NA,none,25000,61,Working fulltime,0,Private,Hospitals,50,46
3509,843,2,Female,White,34,Married,Big-city suburb,E. sou. central,1,NA,NA,Bachelor,Business,58%+,468+,Private,NA,84,Keeping house,0,Private,Motor vehicles and motor vehicle equipment manufacturing,70,24
3536,859,2,Male,White,12,Never married,0,South atlantic,1,No,No,Bachelor,Business,40-57.9%,468+,Public,25000,51,Working fulltime,0,Private,"Structural metals, and boiler, tank, and shipping container manufacturing",62,36
3581,883,1,Female,White,14,Divorced,0,W. nor. central,1,No,No,Bachelor,Business,NA,468+,Private,25000,52,Working fulltime,0,Government,"Colleges and universities, including junior colleges",80,NA
3599,894,2,Female,White,27,Married,50000,E. nor. central,1,No,No,Bachelor,Business,NA,NA,none,10000,29,Working fulltime,0,Private, restaurants and other food services,34,28
3609,899,1,Female,Other,19,Never married,0,W. nor. central,1,NA,NA,Junior college,Business,NA,NA,none,NA,84,Keeping house,0,Private,Real estate,61,NA
3668,932,1,Male,White,19,Never married,50000,Mountain,1,No,No,Junior college,Business,NA,NA,none,10000,24,Working parttime,0,Private,Grocery stores,24,NA
3689,943,1,Male,White,30,Divorced,0,W. nor. central,1,No,No,Bachelor,Business,40-57.9%,468+,Private,25000,40,Working fulltime,0,Private,NA,80,NA
3694,947,1,Female,White,22,Married,NA,E. nor. central,1,NA,NA,Bachelor,Business,NA,468+,Public,10000,49,Working fulltime,0,Private,"Savings institutions, including credit unions",43,NA
3734,969,1,Female,White,27,Married,NA,E. nor. central,1,No,No,Junior college,Business,NA,468+,Public,25000,37,Working fulltime,0,Private,"Electric power generation, transmission, and distribution",54,NA
3747,975,2,Female,White,38,Married,0,Middle atlantic,1,NA,NA,Bachelor,Business,58%+,468+,Private,NA,84,Keeping house,0,Private,"Professional and commercial equipment and supplies, merchant wholesalers",85,0
3902,1062,1,Female,White,11,Never married,0,New england,1,Yes,No,Junior college,Business,40-57.9%,468+,Public,20000,35,Working fulltime,0,Private,Hospitals,8,NA
3934,1080,1,Female,Other,44,Never married,NA,Mountain,1,Yes,No,Bachelor,Business,NA,468+,Public,10000,35,Working fulltime,0,Government,Executive offices and legislative bodies,41,NA
4037,1189,2,Male,White,22,Married,50000,Mountain,1,No,No,Bachelor,Business,NA,NA,none,NA,35,Working fulltime,0,Private,"Electrical lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.",70,NA
4144,1308,2,Female,White,55,Divorced,Big-city suburb,Middle atlantic,1,NA,NA,Junior college,Business,NA,468+,Public,25000,46,Working fulltime,1,Private,Individual and family services,71,NA
4158,1323,2,Male,White,15,Married,0,Middle atlantic,1,No,No,Bachelor,Business,58%+,468+,Private,25000,46,Working fulltime,0,Government,"Museums, art galleries, historical sites, and similar institutions",3,NA
4216,1388,2,Male,White,48,Never married,0,Mountain,1,NA,NA,Bachelor,Business,58%+,468+,Private,NA,1,Retired,0,Government,Administration of human resource programs,75,NA
4236,1410,2,Male,White,47,Married,NA,South atlantic,1,NA,NA,Bachelor,Business,0-39.9%,468+,Public,NA,1,Retired,0,Private,Petroleum refining,68,NA
4298,1479,2,Female,Black,28,Married,NA,South atlantic,1,No,No,Graduate,Business,0-39.9%,468+,Private,25000,35,Working fulltime,0,Government,National security and international affairs,46,NA
4352,1539,2,Female,White,7,Never married,0,E. nor. central,1,No,No,Bachelor,Business,58%+,468+,Public,20000,40,Working fulltime,0,Private,Traveler accommodation,14,NA
4412,1606,2,Female,Black,25,Divorced,NA,E. sou. central,1,No,Yes,Junior college,Business,NA,468+,Public,20000,36,Working fulltime,0,Private,Grocery stores,45,NA
4433,1629,2,Male,Black,23,Married,NA,E. sou. central,1,No,No,Bachelor,Business,0-39.9%,468+,Public,25000,57,Working fulltime,0,Private,Investigation and security services,59,NA
4435,1631,2,Female,Black,23,Married,0,E. nor. central,1,NA,NA,Junior college,Business,NA,NA,none,NA,84,Keeping house,0,Private,Nursing care facilities,31,NA
4448,1645,2,Female,White,21,Divorced,NA,South atlantic,1,No,No,Bachelor,Business,0-39.9%,468+,Public,25000,40,Working fulltime,0,Private,"Drugs, sundries, and chemical and allied products, merchant wholesalers",45,NA
4486,1688,2,Male,White,17,Never married,50000,New england,1,No,No,Junior college,Business,NA,468+,Public,25000,35,Working fulltime,0,Private,Couriers and messengers,54,NA
4500,1704,2,Male,White,35,Married,0,New england,1,No,No,Bachelor,Business,0-39.9%,468+,Public,25000,46,Working fulltime,0,Private,Grocery stores,66,NA
2518,290,1,Female,Black,43,Divorced,Big-city suburb,South atlantic,1,NA,NA,Bachelor,Physical Sciences,0-39.9%,468+,Private,NA,1,"Unempl, laid off",0,Private,Electronic and precision equipment repair and maintenance,88,NA
4040,1193,2,Female,White,26,Divorced,0,Mountain,1,No,No,Graduate,Physical Sciences,58%+,468+,Public,25000,46,Working fulltime,0,Government,Elementary and secondary schools,88,NA
4397,1589,2,Male,White,13,Married,0,E. nor. central,1,No,No,Bachelor,Physical Sciences,40-57.9%,468+,Private,25000,43,Working fulltime,0,Private,Petroleum refining,54,NA
428,1269,1,Female,Other,48,Married,250000,Foreign,0,NA,NA,Junior college,Education,NA,468+,Public,NA,84,Keeping house,0,Private,National security and international affairs,54,NA
1933,2508,1,Female,White,12,Married,50000,Mountain,1,NA,NA,Bachelor,Education,40-57.9%,468+,Public,NA,84,Keeping house,0,Private,"Savings institutions, including credit unions",43,NA
2115,67,2,Female,White,37,Married,Big-city suburb,South atlantic,1,NA,NA,Bachelor,Education,58%+,468+,Public,10000,1,"Unempl, laid off",0,Government,Elementary and secondary schools,68,64
2601,338,1,Female,White,16,Married,50000,E. sou. central,1,No,No,Bachelor,Education,40-57.9%,468+,Public,25000,35,Working fulltime,0,Government,Administration of human resource programs,49,NA
4499,1703,2,Female,White,36,Married,0,Pacific,1,No,No,Bachelor,Education,58%+,468+,Public,25000,35,Working fulltime,0,Private,Individual and family services,76,24
145,2245,2,Female,White,34,Married,0,Middle atlantic,1,NA,NA,Bachelor,Biological Sciences,58%+,468+,Public,25000,40,Working fulltime,0,Private,"Management, scientific, and technical consulting services",66,21
20,2,1,Female,White,11,Never married,0,Middle atlantic,1,Yes,No,Bachelor,Multi-disciplinary/other,58%+,468+,Public,25000,35,Working fulltime,0,Private,"Civic, social, advocacy organizations, and grantmaking and giving services",75,NA
121,2112,2,Male,White,34,Never married,0,New england,1,No,No,Graduate,Multi-disciplinary/other,58%+,468+,Public,20000,6,Working parttime,0,Private,Outpatient care centers,59,47
153,2289,1,Female,White,39,Married,Big-city suburb,Middle atlantic,1,Yes,No,Bachelor,Multi-disciplinary/other,40-57.9%,468+,Public,20000,14,Working fulltime,0,NA,Elementary and secondary schools,49,NA
241,236,2,Male,White,24,Never married,Big-city suburb,Middle atlantic,1,NA,NA,Bachelor,Multi-disciplinary/other,58%+,468+,Public,NA,84,Keeping house,0,Private,"Periodical, book, and directory publishers",83,64
450,1391,2,Female,Other,7,Never married,50000,Pacific,1,Yes,No,Bachelor,Multi-disciplinary/other,58%+,468+,Public,25000,35,Working fulltime,0,Government,Hospitals,67,NA
786,1871,1,Female,White,14,Never married,0,Pacific,1,No,No,Bachelor,Multi-disciplinary/other,58%+,468+,Public,25000,35,Working fulltime,0,Private,"Civic, social, advocacy organizations, and grantmaking and giving services",71,NA
982,1980,2,Female,Other,37,Married,250000,Foreign,0,No,No,Bachelor,Multi-disciplinary/other,NA,NA,none,NA,57,Working fulltime,0,Private,"Electronic component and product manufacturing, n.e.c.",80,47
1343,2181,1,Female,White,37,Married,0,E. nor. central,1,No,No,Graduate,Multi-disciplinary/other,58%+,468+,Public,NA,43,Working fulltime,0,NA,Elementary and secondary schools,84,NA
1560,2301,1,Male,White,44,Married,NA,Middle atlantic,1,No,No,Bachelor,Multi-disciplinary/other,58%+,468+,Private,25000,57,Working fulltime,1,Private,Not specified manufacturing industries,62,NA
1634,2342,1,Male,White,62,Married,0,Middle atlantic,1,NA,NA,Bachelor,Multi-disciplinary/other,58%+,468+,Private,NA,1,Retired,0,Government,Elementary and secondary schools,88,NA
1647,2350,1,Male,White,25,Never married,NA,Middle atlantic,1,NA,NA,Bachelor,Multi-disciplinary/other,58%+,468+,Public,25000,1,"Unempl, laid off",0,Government,Construction,11,NA
1701,2380,1,Female,White,5,Never married,Big-city suburb,E. nor. central,1,Yes,No,Bachelor,Multi-disciplinary/other,58%+,468+,Private,4000,35,Working fulltime,0,Private,Banking and related activities,72,NA
1830,2451,1,Female,White,5,Never married,NA,E. nor. central,1,No,No,Bachelor,Multi-disciplinary/other,58%+,468+,Public,6000,48,Working parttime,0,Private,"Colleges and universities, including junior colleges",88,NA
2231,132,1,Female,Other,8,Never married,250000,Foreign,0,No,No,Bachelor,Multi-disciplinary/other,58%+,468+,Public,8000,18,Working parttime,0,Private, restaurants and other food services,34,NA
2294,166,2,Female,White,22,Married,Big-city suburb,Middle atlantic,1,NA,NA,Bachelor,Multi-disciplinary/other,58%+,468+,Private,NA,84,Keeping house,0,Private,Advertising and related services,72,31
2622,349,2,Male,White,12,Never married,0,E. nor. central,1,No,No,Bachelor,Multi-disciplinary/other,58%+,468+,Private,25000,35,Working fulltime,0,Private,"Civic, social, advocacy organizations, and grantmaking and giving services",85,40
2750,419,2,Female,White,18,Never married,250000,E. sou. central,1,No,No,Bachelor,Multi-disciplinary/other,58%+,468+,Public,25000,35,Working fulltime,0,Private,"Architectural, engineering, and related services",49,48
4012,1162,2,Female,White,24,Divorced,Big-city suburb,New england,1,No,No,Graduate,Multi-disciplinary/other,40-57.9%,468+,Public,25000,46,Working fulltime,0,Government,"Colleges and universities, including junior colleges",80,NA
4125,1287,2,Female,White,37,Married,50000,Pacific,1,NA,NA,Bachelor,Multi-disciplinary/other,40-57.9%,468+,Public,NA,84,Keeping house,0,Private,Construction,80,NA
4128,1290,2,Male,White,19,Married,0,Pacific,1,No,No,Bachelor,Multi-disciplinary/other,40-57.9%,468+,Public,25000,46,Working fulltime,0,Private,Building material and supplies dealers,75,NA
67,1812,2,Male,White,30,Married,250000,Foreign,1,NA,NA,Bachelor,Engineering & Computer Science,0-39.9%,468+,Public,NA,66,Working fulltime,1,Private,Taxi and limousine service,30,50
88,1923,1,Female,White,40,Divorced,250000,Middle atlantic,1,No,No,Bachelor,Engineering & Computer Science,58%+,468+,Private,25000,57,Working fulltime,0,Private,Insurance carriers and related activities,66,NA
378,990,1,Male,Other,22,Married,Big-city suburb,Pacific,0,No,No,Bachelor,Engineering & Computer Science,58%+,468+,Private,25000,35,Working fulltime,0,Private,Administration of human resource programs,85,NA
701,1825,2,Male,White,53,Married,NA,E. nor. central,1,No,No,Graduate,Engineering & Computer Science,58%+,468+,Private,10000,7,Working parttime,1,Private,"Accounting, tax preparation, bookkeeping, and payroll services",64,51
804,1882,1,Male,Other,20,Never married,0,Foreign,0,No,No,Graduate,Engineering & Computer Science,NA,NA,none,25000,40,Working fulltime,0,Private,Wired telecommunications carriers,85,NA
847,1906,1,Female,White,31,Never married,0,W. nor. central,1,No,Yes,Bachelor,Engineering & Computer Science,40-57.9%,468+,Public,25000,57,Working fulltime,0,Private,Other telecommunications services,72,NA
944,1959,1,Female,Black,37,Divorced,250000,Middle atlantic,1,No,No,Junior college,Engineering & Computer Science,NA,468+,Public,25000,46,Working fulltime,0,Private,Computer and peripheral equipment manufacturing    ,81,NA
966,1971,2,Male,White,46,Never married,0,New england,1,NA,NA,Bachelor,Engineering & Computer Science,40-57.9%,468+,Public,NA,1,"Unempl, laid off",0,Government,"Colleges and universities, including junior colleges",59,43
1065,2027,2,Male,Other,5,Never married,0,Foreign,0,NA,NA,Bachelor,Engineering & Computer Science,NA,NA,none,NA,84,School,NA,NA,NA,1,45
1137,2066,1,Female,White,47,Married,250000,Foreign,0,No,No,Junior college,Engineering & Computer Science,NA,NA,none,NA,18,Working fulltime,1,Private,Private households,8,NA
1166,2082,1,Male,Other,25,Married,250000,Foreign,0,No,Yes,Graduate,Engineering & Computer Science,40-57.9%,468+,Private,25000,53,Working fulltime,0,Private,Electronic shopping,75,NA
1245,2127,2,Female,Other,14,Married,NA,Foreign,0,NA,NA,Bachelor,Engineering & Computer Science,NA,NA,none,NA,84,Keeping house,NA,NA,NA,1,60
1247,2128,2,Male,Other,23,Married,NA,Foreign,0,NA,NA,Bachelor,Engineering & Computer Science,NA,NA,none,NA,84,Keeping house,NA,NA,NA,1,59
1412,2219,1,Male,White,35,Married,50000,Mountain,1,No,No,Bachelor,Engineering & Computer Science,NA,NA,none,NA,43,Working fulltime,0,Private,Computer systems design and related services,85,NA
1503,2270,1,Male,White,49,Married,50000,Middle atlantic,1,No,No,Junior college,Engineering & Computer Science,NA,468+,Public,NA,84,Working parttime,0,Private,"Funeral homes, and cemeteries and crematories",30,NA
1796,2431,2,Female,White,24,Never married,250000,Mountain,1,No,No,Bachelor,Engineering & Computer Science,NA,NA,none,25000,35,Working fulltime,0,Government,"Justice, public order, and safety activities",85,25
2160,92,1,Male,White,32,Married,0,South atlantic,1,No,No,Junior college,Engineering & Computer Science,NA,NA,none,25000,66,Working fulltime,0,Private,Fruit and vegetable preserving and specialty food manufacturing,16,NA
2196,111,1,Male,White,50,Divorced,0,Middle atlantic,1,NA,NA,Graduate,Engineering & Computer Science,58%+,468+,Public,NA,1,Retired,0,Private,Computer systems design and related services,85,NA
2652,365,2,Male,White,46,Divorced,250000,Pacific,1,No,No,Graduate,Engineering & Computer Science,NA,NA,none,25000,35,Working fulltime,0,Private,Employment services,85,35
2676,378,1,Male,White,27,Separated,NA,South atlantic,1,No,Yes,Graduate,Engineering & Computer Science,NA,NA,none,25000,46,Working fulltime,0,Private,Computer systems design and related services,85,NA
2724,405,1,Male,White,8,Never married,0,E. nor. central,1,NA,NA,Bachelor,Engineering & Computer Science,0-39.9%,468+,Public,NA,84,School,0,Government,"Colleges and universities, including junior colleges",59,NA
2958,534,1,Male,White,16,Married,NA,W. nor. central,1,No,No,Bachelor,Engineering & Computer Science,40-57.9%,468+,Public,NA,35,Working fulltime,0,Private,"Radio, tv, and computer stores",59,NA
3207,674,2,Female,Black,14,Separated,50000,South atlantic,1,No,No,Junior college,Engineering & Computer Science,0-39.9%,468+,Private,NA,54,Working fulltime,0,Private,Grocery stores,68,50
3576,881,2,Male,White,34,Divorced,50000,South atlantic,1,No,No,Junior college,Engineering & Computer Science,NA,468+,Public,25000,39,Working fulltime,0,Government,Public finance activities,75,30
3792,1000,2,Male,White,15,Never married,0,E. nor. central,1,NA,NA,Junior college,Engineering & Computer Science,NA,468+,Public,6000,84,School,0,Private,Specialty food stores,46,24
4300,1482,2,Male,White,40,Married,NA,Middle atlantic,1,NA,NA,Junior college,Engineering & Computer Science,NA,NA,none,25000,33,Working fulltime,0,Private,Department stores and discount stores,54,NA
46,1446,1,Male,White,37,Married,Big-city suburb,Middle atlantic,1,Yes,No,Junior college,Multi-disciplinary/other,NA,468+,Public,25000,35,Working fulltime,0,Government,Postal service,58,NA
224,136,1,Male,Black,54,Married,250000,Middle atlantic,1,No,No,Bachelor,Multi-disciplinary/other,40-57.9%,468+,Public,25000,29,Working fulltime,0,Private,Legal services,72,NA
665,1805,1,Female,White,31,Married,Big-city suburb,New england,1,NA,NA,Graduate,Multi-disciplinary/other,58%+,468+,Private,NA,84,Keeping house,0,Government,"Justice, public order, and safety activities",80,NA
730,1840,2,Female,White,13,Never married,Big-city suburb,South atlantic,1,NA,NA,Bachelor,Multi-disciplinary/other,NA,NA,none,25000,35,Working fulltime,0,Government,National security and international affairs,72,24
1295,2154,2,Female,Black,20,Never married,0,Middle atlantic,1,No,No,Bachelor,Multi-disciplinary/other,58%+,468+,Private,25000,46,Working fulltime,0,Government,"Justice, public order, and safety activities",54,21
1568,2305,1,Male,White,15,Married,50000,South atlantic,1,No,No,Bachelor,Multi-disciplinary/other,40-57.9%,468+,Public,25000,43,Working fulltime,0,Government,Administration of human resource programs,67,NA
1629,2340,2,Female,Black,13,Never married,Big-city suburb,E. nor. central,1,No,No,Junior college,Multi-disciplinary/other,NA,468+,Public,15000,7,Working parttime,0,Private,Clothing stores,46,42
1774,2419,2,Female,Black,5,Never married,250000,Mountain,1,No,No,Junior college,Multi-disciplinary/other,NA,NA,none,10000,17,Working parttime,0,Private,"Groceries and related products, merchant wholesalers",63,31
2009,9,1,Male,Other,7,Never married,NA,New england,1,NA,NA,Bachelor,Multi-disciplinary/other,58%+,468+,Private,8000,84,School,0,Private,Services to buildings and dwellings,15,NA
2029,20,1,Male,White,12,Never married,250000,New england,1,No,No,Bachelor,Multi-disciplinary/other,58%+,468+,Public,25000,55,Working fulltime,0,Government,"Justice, public order, and safety activities",53,NA
2233,133,2,Male,White,27,Divorced,50000,Mountain,1,No,No,Bachelor,Multi-disciplinary/other,0-39.9%,468+,Private,25000,35,Working fulltime,0,Government,"Justice, public order, and safety activities",45,31
2383,216,1,Male,Black,39,Divorced,0,South atlantic,1,No,Yes,Junior college,Multi-disciplinary/other,0-39.9%,468+,Private,25000,35,Working fulltime,0,Government,U.s. armed forces/n.s.,76,NA
2453,255,1,Male,Other,22,Married,0,E. sou. central,1,No,No,Junior college,Multi-disciplinary/other,NA,468+,Public,25000,54,Working fulltime,0,Private,Ship and boat building,32,NA
2936,522,2,Female,White,34,Never married,0,Middle atlantic,1,NA,NA,Bachelor,Multi-disciplinary/other,0-39.9%,468+,Private,NA,84,Other,0,Government,Administration of human resource programs,80,31
3870,1044,1,Male,White,17,Married,NA,South atlantic,1,No,No,Bachelor,Multi-disciplinary/other,0-39.9%,468+,Public,25000,51,Working fulltime,0,Government,"Justice, public order, and safety activities",66,NA
4090,1249,2,Male,Other,9,Divorced,50000,Pacific,0,NA,NA,Graduate,Multi-disciplinary/other,40-57.9%,468+,Public,7000,15,Working parttime,0,Private,Individual and family services,80,NA
4105,1265,2,Female,White,40,Separated,NA,Pacific,1,NA,NA,Junior college,Multi-disciplinary/other,NA,468+,Public,NA,84,Keeping house,0,Private,"Veneer, plywood, and engineered wood products",9,NA
4112,1273,2,Female,White,13,Married,250000,Pacific,1,NA,NA,Bachelor,Multi-disciplinary/other,40-57.9%,468+,Public,8000,84,School,0,Private,Insurance carriers and related activities,50,NA
288,491,1,Female,Other,50,Widowed,50000,Foreign,0,No,No,Junior college,Arts,NA,468+,Public,15000,7,Working parttime,1,Private,"Other schools and instruction, and educational support services",72,NA
1202,2103,1,Female,White,39,Married,Big-city suburb,E. nor. central,1,No,No,Bachelor,Pre-Health & Medicine,58%+,468+,Public,15000,35,Working fulltime,0,Private,Elementary and secondary schools,49,NA
2734,410,1,Male,White,60,Married,0,E. nor. central,1,No,No,Graduate,Pre-Health & Medicine,58%+,468+,Public,7000,3,Working parttime,0,Private,"Professional and commercial equipment and supplies, merchant wholesalers",62,NA
92,1945,1,Female,White,56,Married,Big-city suburb,Middle atlantic,1,NA,NA,Bachelor,Economics,NA,NA,none,NA,84,Keeping house,0,Private,Real estate,67,NA
96,1967,1,Male,White,51,Married,0,Middle atlantic,1,No,No,Graduate,Economics,58%+,468+,Private,25000,35,Working fulltime,1,Private,Legal services,88,NA
197,2533,2,Female,Black,74,NA,250000,Middle atlantic,1,No,NA,Graduate,Economics,NA,NA,none,NA,57,Working fulltime,0,Private,NA,1,49
425,1258,2,Female,Other,33,Never married,250000,Foreign,1,NA,NA,High school,Economics,NA,NA,none,NA,84,Keeping house,NA,NA,NA,1,NA
1254,2131,2,Female,Other,12,Married,0,Foreign,0,NA,NA,Bachelor,Economics,NA,NA,none,NA,35,Working fulltime,0,Private,Computer systems design and related services,85,51
2402,227,1,Female,White,24,Married,50000,South atlantic,1,No,No,Junior college,Economics,NA,0-467,Private,25000,79,Working fulltime,0,Private,Hospitals,76,NA
137,2200,2,Male,White,7,Never married,0,Middle atlantic,1,NA,NA,Bachelor,Economics,58%+,468+,Private,NA,46,Working fulltime,0,Private,"Management, scientific, and technical consulting services",49,73
234,191,2,Female,Other,21,Married,250000,Middle atlantic,0,NA,NA,Bachelor,Economics,58%+,468+,Private,NA,84,Keeping house,0,Private,Insurance carriers and related activities,69,47
485,1591,1,Male,White,48,Married,Big-city suburb,E. nor. central,1,No,No,Graduate,Economics,NA,NA,none,NA,83,Working fulltime,0,Private,Specialized design services,58,NA
630,1785,1,Male,White,37,Married,Big-city suburb,South atlantic,1,No,No,Graduate,Economics,58%+,468+,Private,25000,35,Working fulltime,0,Government,Executive offices and legislative bodies,66,NA
668,1806,2,Male,White,24,Married,250000,E. nor. central,0,NA,NA,Bachelor,Education,40-57.9%,468+,Public,25000,35,Working fulltime,0,Private,Banking and related activities,72,51
812,1886,2,Male,White,46,Never married,250000,Middle atlantic,1,NA,NA,Graduate,Education,58%+,468+,Private,25000,35,Working fulltime,0,Government,Administration of economic programs and space research,3,53
958,1966,2,Female,White,35,Divorced,0,New england,1,No,No,Bachelor,Education,58%+,468+,Public,25000,35,Working fulltime,0,Government,"Colleges and universities, including junior colleges",70,45
1506,2271,1,Male,White,47,Divorced,Big-city suburb,W. nor. central,1,NA,NA,Bachelor,Education,0-39.9%,468+,Private,NA,1,Retired,0,Private,"Management, scientific, and technical consulting services",80,NA
1652,2352,1,Male,White,29,Divorced,Big-city suburb,South atlantic,1,No,No,Bachelor,Education,58%+,468+,Private,25000,46,Working fulltime,1,Private,Real estate,70,NA
2731,409,1,Female,White,71,Widowed,Big-city suburb,E. nor. central,1,NA,NA,Graduate,Education,58%+,468+,Public,NA,84,Other,NA,NA,NA,1,NA
72,1834,1,Male,White,45,Divorced,0,Middle atlantic,1,No,No,Graduate,Education,58%+,468+,Private,25000,42,Working fulltime,0,Government,"Colleges and universities, including junior colleges",80,NA
101,2001,1,Male,White,40,Divorced,Big-city suburb,Middle atlantic,1,No,No,Bachelor,Education,40-57.9%,468+,Public,25000,46,Working fulltime,0,Government,"Museums, art galleries, historical sites, and similar institutions",12,NA
134,2178,2,Female,White,48,Married,50000,New england,1,NA,NA,Bachelor,Education,58%+,468+,Private,25000,46,Working fulltime,1,Private,"Securities, commodities, funds, trusts, and other financial investments",83,51
150,2267,2,Female,White,22,Married,0,Middle atlantic,1,No,Yes,Graduate,Education,NA,468+,Private,25000,57,Working fulltime,0,Government,Elementary and secondary schools,88,28
214,80,1,Female,White,30,Married,0,Middle atlantic,0,No,No,Graduate,Education,58%+,468+,Public,10000,24,Working parttime,0,Government,Elementary and secondary schools,49,NA
232,180,2,Female,White,18,Never married,Big-city suburb,South atlantic,1,No,No,Graduate,Education,58%+,468+,Private,25000,46,Working fulltime,0,Government,Elementary and secondary schools,88,69
248,269,2,Female,White,62,Widowed,NA,Foreign,0,NA,NA,Graduate,Education,58%+,468+,Private,NA,1,Retired,0,Government,Elementary and secondary schools,88,40
268,380,2,Female,Black,47,Divorced,250000,Middle atlantic,1,Yes,No,Graduate,Education,40-57.9%,468+,Public,25000,35,Temp not working,0,Government,Elementary and secondary schools,80,48
336,757,2,Male,White,66,Divorced,Big-city suburb,W. nor. central,1,NA,NA,Graduate,Education,58%+,468+,Private,NA,1,Retired,0,Government,Elementary and secondary schools,88,0
416,1202,1,Female,White,45,Never married,Big-city suburb,Pacific,1,NA,NA,Graduate,Education,58%+,468+,Private,NA,1,Retired,0,Government,Elementary and secondary schools,88,NA
432,1291,1,Male,White,19,Married,250000,Pacific,1,No,No,Graduate,Education,40-57.9%,468+,Public,25000,40,Working fulltime,0,Government,Elementary and secondary schools,88,NA
486,1591,2,Female,White,44,Married,50000,Pacific,1,NA,NA,Graduate,Education,40-57.9%,468+,Public,25000,2,Working fulltime,0,Government,Elementary and secondary schools,88,NA
497,1657,1,Male,White,15,Never married,50000,E. nor. central,1,No,No,Junior college,Education,NA,468+,Public,25000,84,Working fulltime,0,Private,Business support services,49,NA
520,1724,1,Female,White,52,Married,Big-city suburb,E. nor. central,1,NA,NA,Bachelor,Education,40-57.9%,468+,Public,NA,1,Retired,0,Government,Elementary and secondary schools,88,NA
530,1729,1,Female,White,51,Widowed,NA,E. nor. central,1,NA,NA,Bachelor,Education,58%+,468+,Public,NA,1,Retired,0,Government,Elementary and secondary schools,88,NA
540,1735,2,Female,White,29,Married,50000,Pacific,1,No,No,Graduate,Education,40-57.9%,468+,Public,25000,35,Working fulltime,0,Government,Elementary and secondary schools,88,47
562,1747,1,Female,White,45,Married,NA,South atlantic,1,NA,NA,Graduate,Education,58%+,468+,Private,25000,84,Temp not working,0,Government,"Colleges and universities, including junior colleges",81,NA
649,1796,2,Female,Other,37,Married,Big-city suburb,E. nor. central,0,Yes,Yes,Junior college,Education,NA,468+,Public,5000,26,Working fulltime,0,Private,Department stores and discount stores,46,35
673,1809,1,Male,White,47,Widowed,NA,New england,1,NA,NA,Bachelor,Education,40-57.9%,468+,Public,5000,1,Retired,1,Private,Construction,7,NA
714,1831,1,Female,White,22,Married,0,New england,1,No,No,Graduate,Education,40-57.9%,468+,Public,15000,13,Working parttime,1,Private,Child day care services,35,NA
791,1874,2,Female,Black,41,Divorced,250000,E. nor. central,1,No,No,Bachelor,Education,40-57.9%,468+,Public,25000,8,Working parttime,0,Government,Non-depository credit and related activities,50,24
965,1971,1,Female,White,22,Married,50000,Middle atlantic,1,No,No,Junior college,Education,NA,468+,Public,15000,35,Working fulltime,0,Private,Child day care services,49,NA
972,1974,2,Female,White,43,Married,NA,New england,1,Yes,No,Graduate,Education,0-39.9%,468+,Private,25000,57,Working fulltime,0,Government,Elementary and secondary schools,88,63
980,1979,2,Female,White,30,Married,0,Pacific,1,No,No,Graduate,Education,58%+,468+,Private,25000,24,Working fulltime,0,Private,Computer systems design and related services,81,46
987,1983,1,Female,White,44,Widowed,0,W. sou. central,1,NA,NA,Bachelor,Education,58%+,468+,Public,NA,1,Retired,0,Government,Elementary and secondary schools,88,NA
1003,1993,1,Male,White,27,Married,250000,W. sou. central,1,No,No,Graduate,Education,40-57.9%,468+,Public,25000,57,Working fulltime,0,Private,Plastics product manufacturing,59,NA
1042,2014,2,Female,Other,39,Married,50000,Foreign,0,No,No,Bachelor,Education,NA,NA,none,4000,46,Working fulltime,0,Private,Banking and related activities,72,0
1064,2026,2,Female,White,26,Never married,0,Pacific,1,Yes,No,Graduate,Education,58%+,468+,Private,25000,57,Working parttime,0,Government,Elementary and secondary schools,88,48
1188,2094,2,Female,White,38,Married,0,W. sou. central,1,NA,NA,Bachelor,Education,58%+,468+,Private,25000,46,Temp not working,0,Government,Elementary and secondary schools,88,35
1219,2113,2,Female,White,57,Married,0,Middle atlantic,1,NA,NA,Bachelor,Education,58%+,468+,Public,NA,1,Retired,0,Government,Elementary and secondary schools,84,64
1222,2114,1,Female,White,61,Widowed,250000,E. nor. central,1,NA,NA,Graduate,Education,0-39.9%,468+,Public,NA,1,Retired,0,Government,Elementary and secondary schools,88,NA
1298,2155,1,Female,White,16,Married,50000,E. nor. central,1,NA,NA,Junior college,Education,0-39.9%,468+,Public,NA,84,Keeping house,0,Private, restaurants and other food services,34,NA
1564,2303,1,Female,White,25,Divorced,50000,South atlantic,1,No,No,Bachelor,Education,40-57.9%,468+,Public,25000,46,Working fulltime,0,Government,Elementary and secondary schools,88,NA
1574,2308,2,Female,White,43,Married,NA,South atlantic,1,No,No,Graduate,Education,40-57.9%,468+,Public,25000,46,Working fulltime,0,Private,"Colleges and universities, including junior colleges",88,45
1646,2349,1,Female,Black,47,Divorced,NA,South atlantic,1,NA,NA,Junior college,Education,NA,NA,none,NA,1,Retired,0,Government,Individual and family services,80,NA
