IDnum,GSSyear,sex,race,Age,maritalstatus,PlaceLived16,Region16,BornHere,ageism,racism,HighestDegree,DegreeField,baEarnRate,collStudEnroll,colltype,income,hrsLastWk,jobstatus,selfEmploy,GovOrPriv,IndusCode,pctColleagueWdegree
364,2012,Female,Other,34,Never married,"Country,nonfarm",Foreign,No,No,No,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,40,Working fulltime,Someone else,Private,"Bakeries, except retail",17
364,2014,Female,White,30,Never married,Big-city suburb,South atlantic,Yes,No,No,Bachelor,Not applicable,58%+,468+,"Public, 4-year or above",$25000 or more,40,Working fulltime,Someone else,Government,"Justice, public order, and safety activities",82
365,2012,Female,White,55,Married,Farm,New england,No,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Other,Someone else,Private,"Seafood and other miscellaneous foods, n.e.c.",38
365,2014,Female,White,30,Never married,Big-city suburb,South atlantic,Yes,Not applicable,Not applicable,Bachelor,Criminology/criminal justice,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Government,National security and international affairs,83
366,2012,Male,White,72,Widowed,50000 to 250000,New england,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Government,"Water, steam, air-conditioning, and irrigation systems",49
366,2014,Male,White,49,Married,Big-city suburb,South atlantic,Yes,No,No,Bachelor,Not applicable,58%+,468+,"Public, 4-year or above",$25000 or more,60,Working fulltime,Someone else,Private,Computer systems design and related services,88
367,2014,Female,White,58,Married,City gt 250000,South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,38,Working fulltime,Someone else,Government,Administration of economic programs and space research,65
367,2012,Female,White,34,Divorced,50000 to 250000,New england,Yes,Not applicable,Not applicable,Junior college,Nursing,Not applicable,468+,"Public, 2-year",$25000 or more,Not applicable,Keeping house,Someone else,Private,Hospitals,98
368,2012,Male,White,35,Married,Town lt 50000,New england,Yes,No,No,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,64,Working fulltime,Someone else,Private,Construction,20
368,2014,Female,White,24,Never married,Farm,South atlantic,Yes,No,No,Bachelor,Not applicable,40-57.9%,468+,"Private not-for-profit, 4-year or above",Not applicable,35,Working fulltime,Someone else,Government,Elementary and secondary schools,59
369,2014,Female,White,49,Married,Town lt 50000,South atlantic,Yes,No,No,Bachelor,Not applicable,0-39.9%,468+,"Public, 4-year or above",$25000 or more,50,Working fulltime,Someone else,Private,"Communications, and audio and video equipment manufacturing        ",83
369,2012,Female,White,61,Married,Town lt 50000,New england,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,50,Working fulltime,Someone else,Private,Banking and related activities,83
370,2012,Male,White,56,Divorced,Big-city suburb,New england,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Other,Someone else,Private,Industrial and miscellaneous chemicals,38
370,2014,Male,White,66,Married,No answer,E. nor. central,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$20000 - 24999,40,Working fulltime,Someone else,Private,"Electric power generation, transmission, and distribution",46
371,2012,Female,White,60,Divorced,50000 to 250000,New england,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Other,Someone else,Private,Nursing care facilities,41
371,2014,Male,White,43,Divorced,"Country,nonfarm",South atlantic,Yes,No,No,Bachelor,Marketing,58%+,468+,"Public, 4-year or above",$25000 or more,Not applicable,Temp not working,Someone else,Private,Insurance carriers and related activities,85
372,2014,Male,Other,67,Married,City gt 250000,Foreign,No,Yes,No,Graduate,Engineering,58%+,468+,"Public, 4-year or above",$25000 or more,40,Working fulltime,Someone else,Private,Scientific research and development services,92
372,2012,Female,White,65,Married,Town lt 50000,W. nor. central,Yes,Not applicable,Not applicable,Bachelor,Not applicable,Not applicable,468+,"Public, 2-year",0,0,Retired,Someone else,Government,Elementary and secondary schools,99
373,2012,Male,White,85,Married,Farm,New england,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Government,"Colleges and universities, including junior colleges",77
373,2014,Female,White,69,Married,50000 to 250000,Middle atlantic,Yes,Not applicable,Not applicable,Bachelor,Psychology,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Private,Insurance carriers and related activities,98
374,2012,Male,White,42,Never married,Farm,New england,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$20000 - 24999,60,Working fulltime,Self-employed,Private,Logging,13
374,2014,Male,White,65,Married,Farm,South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,89,Working fulltime,Self-employed,Private,Construction,59
375,2014,Male,White,52,Married,Big-city suburb,South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,50,Working fulltime,Someone else,Private,Automobile dealers,55
375,2012,Female,White,27,Never married,Big-city suburb,New england,Yes,Yes,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$10000 - 14999,40,Working fulltime,Someone else,Private,Child day care services,79
376,2012,Female,White,85,Widowed,Town lt 50000,New england,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Private,Drycleaning and laundry services,42
376,2014,Male,White,63,Married,City gt 250000,South atlantic,Yes,No,No,Bachelor,Political science,58%+,468+,"Public, 4-year or above",$25000 or more,20,Working parttime,Someone else,Private,Investigation and security services,66
377,2012,Female,White,63,Married,50000 to 250000,Pacific,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,45,Working fulltime,Someone else,Private,Elementary and secondary schools,56
377,2014,Male,White,60,Married,Big-city suburb,South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,50,Working fulltime,Self-employed,Private,Furniture and related product manufacturing,77
378,2014,Female,White,20,Never married,Big-city suburb,South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,School,Not applicable,Not applicable,Not applicable,0
378,2012,Female,White,61,Married,Big-city suburb,Foreign,No,No,No,Bachelor,Art,Not applicable,Not applicable,Not applicable,$1000 to 2999,5,Working parttime,Self-employed,Private,Specialized design services,83
379,2014,Male,White,49,Married,50000 to 250000,Middle atlantic,Yes,No,No,Bachelor,Psychology,58%+,468+,"Private not-for-profit, 4-year or above",$25000 or more,50,Working fulltime,Self-employed,Private,"Accounting, tax preparation, bookkeeping, and payroll services",94
379,2012,Female,Other,27,Married,City gt 250000,Foreign,No,Yes,No,Graduate,Engineering,40-57.9%,468+,"Public, 4-year or above",$25000 or more,20,Working parttime,Someone else,Private,"Management, scientific, and technical consulting services",96
380,2012,Male,White,48,Never married,City gt 250000,Pacific,Yes,No,No,Bachelor,Not applicable,58%+,468+,"Public, 4-year or above",$25000 or more,44,Working fulltime,Someone else,Private,Computer systems design and related services,92
380,2014,Female,White,36,Married,Big-city suburb,Middle atlantic,Yes,No,No,Graduate,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Government,Elementary and secondary schools,99
381,2014,Male,Black,23,Never married,50000 to 250000,South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,36,Working parttime,Someone else,Private,Not specified retail trade,59
381,2012,Male,Other,25,Never married,City gt 250000,Pacific,Yes,Yes,Yes,Bachelor,Not applicable,40-57.9%,468+,"Public, 4-year or above",$25000 or more,45,Working fulltime,Someone else,Private,"Securities, commodities, funds, trusts, and other financial investments",78
382,2014,Male,White,19,Never married,Big-city suburb,South atlantic,Yes,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,50,Working fulltime,Someone else,Private,Automotive repair and maintenance,30
382,2012,Male,Other,34,Married,City gt 250000,Foreign,No,No answer,No answer,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,Not applicable,Temp not working,Someone else,Government,Hospitals,58
383,2012,Female,Other,37,Married,City gt 250000,Pacific,No,No,No,Bachelor,Accounting/bookkeeping,Not applicable,468+,"Private not-for-profit, 4-year or above",Not applicable,30,Working parttime,Self-employed,Private,Offices of dentists,94
383,2014,Male,White,57,Married,City gt 250000,Foreign,No,No,No,Graduate,Not applicable,58%+,468+,"Private not-for-profit, 4-year or above",$25000 or more,24,Working parttime,Someone else,Private,Outpatient care centers,100
384,2014,Female,Other,33,Married,"Country,nonfarm",Foreign,No,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Keeping house,Not applicable,Not applicable,Not applicable,0
384,2012,Female,White,64,Widowed,City gt 250000,Pacific,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Government,Executive offices and legislative bodies,25
385,2014,Male,Other,39,Never married,Town lt 50000,Foreign,No,No,No,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Private,Construction,13
385,2012,Male,White,82,Widowed,Big-city suburb,Foreign,No,No,No,Graduate,Not applicable,58%+,468+,"Private not-for-profit, 4-year or above",$25000 or more,40,Working fulltime,Self-employed,Private,"Securities, commodities, funds, trusts, and other financial investments",77
386,2012,Female,White,43,Married,50000 to 250000,Pacific,Yes,No answer,No answer,Bachelor,Not applicable,Not applicable,0-467,"Private for-profit, less-than 2-year",Refused,No answer,No answer,No answer,No answer,No answer,0
386,2014,Male,Other,33,Married,Farm,Foreign,No,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,80,Working fulltime,Someone else,Private,Automotive repair and maintenance,30
387,2012,Female,White,54,Divorced,Town lt 50000,Pacific,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Lt $1000,0,Retired,Someone else,Private,Waste management and remediation services,20
387,2014,Female,Black,38,Never married,50000 to 250000,Foreign,No,No,No,Junior college,General sutdies,Not applicable,468+,"Public, 2-year",$25000 or more,49,Working fulltime,Someone else,Private,Home health care services,41
388,2012,Female,White,25,Never married,50000 to 250000,Pacific,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$10000 - 14999,38,Working fulltime,Someone else,Private,Not specified retail trade,27
388,2014,Female,Black,57,Never married,50000 to 250000,South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,0,"Unempl, laid off",Someone else,Private,Other health care services,58
389,2014,Male,White,23,Never married,City gt 250000,Middle atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,$3000 to 3999,0,"Unempl, laid off",Someone else,Private,Construction,20
389,2012,Female,White,78,Divorced,Town lt 50000,Pacific,No,Not applicable,Not applicable,Bachelor,Not applicable,58%+,468+,"Public, 4-year or above",0,0,Retired,Someone else,Government,Elementary and secondary schools,95
390,2014,Female,Black,46,Married,Town lt 50000,South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,"Unempl, laid off",Someone else,Government,Child day care services,45
390,2012,Female,Black,19,Never married,Town lt 50000,Pacific,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,$1000 to 2999,0,"Unempl, laid off",Someone else,Private,Clothing stores,59
391,2012,Male,White,64,Divorced,City gt 250000,Pacific,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Private,Miscellaneous fabricated metal products manufacturing,17
391,2014,Female,Black,23,Never married,Town lt 50000,South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,"Unempl, laid off",Someone else,Private,Private households,17
392,2014,Male,Black,55,Divorced,Big-city suburb,South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,50,Working fulltime,Someone else,Private,Grocery stores,25
392,2012,Male,Black,23,Never married,City gt 250000,Pacific,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$20000 - 24999,40,Working fulltime,Someone else,Government,Nursing care facilities,41
393,2014,Female,Black,22,Never married,50000 to 250000,E. sou. central,Yes,No,No,Junior college,Not applicable,0-39.9%,468+,"Public, 4-year or above",$25000 or more,40,Working fulltime,Someone else,Government,National security and international affairs,41
393,2012,Female,White,31,Never married,Town lt 50000,Pacific,Yes,No,No,Bachelor,Communications/speech,58%+,468+,"Public, 4-year or above",$25000 or more,40,Working fulltime,Someone else,Private,"Civic, social, advocacy organizations, and grantmaking and giving services",82
394,2012,Male,White,41,Married,Town lt 50000,New england,Yes,No,No,Junior college,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,32,Working fulltime,Someone else,Private,Private households,22
394,2014,Female,Black,70,Widowed,Town lt 50000,E. nor. central,Yes,Not applicable,Not applicable,Graduate,Psychology,40-57.9%,468+,"Public, 4-year or above",$15000 - 19999,3,Working parttime,Someone else,Private,Hospitals,95
395,2012,Female,Black,29,Never married,City gt 250000,Pacific,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$20000 - 24999,60,Working fulltime,Someone else,Government,Home health care services,22
395,2014,Male,Black,27,Never married,Big-city suburb,South atlantic,No,Not applicable,Not applicable,Junior college,History,Not applicable,468+,"Public, 2-year",$25000 or more,40,Working fulltime,Someone else,Private,Investigation and security services,49
396,2014,Female,Black,58,Divorced,City gt 250000,E. nor. central,Yes,No,No,Bachelor,Education,40-57.9%,468+,"Public, 4-year or above",$25000 or more,16,Working parttime,Someone else,Government,Non-depository credit and related activities,61
396,2012,Female,White,51,Divorced,Town lt 50000,Foreign,No,No,Yes,Graduate,Journalism,0-39.9%,468+,"Private not-for-profit, 4-year or above",$25000 or more,45,Working fulltime,Someone else,Government,Elementary and secondary schools,99
397,2014,Female,Black,55,Separated,City gt 250000,South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,"Unempl, laid off",Someone else,Private,Hospitals,41
397,2012,Male,Other,55,Divorced,50000 to 250000,Pacific,Yes,No,No,Bachelor,Physical education,40-57.9%,468+,"Public, 4-year or above",$25000 or more,42,Working fulltime,Someone else,Private,"Groceries and related products, merchant wholesalers",65
398,2012,Female,Black,36,Married,Big-city suburb,Pacific,Yes,Yes,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,25,Working parttime,Someone else,Private,"Savings institutions, including credit unions",78
398,2014,Female,Black,36,Divorced,City gt 250000,South atlantic,Yes,Yes,No,Graduate,History,58%+,468+,"Private not-for-profit, 4-year or above",$25000 or more,60,Working fulltime,Someone else,Government,"Colleges and universities, including junior colleges",99
399,2014,Female,White,65,Divorced,"Country,nonfarm",South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Keeping house,Someone else,Government,"Justice, public order, and safety activities",57
399,2012,Female,White,87,Widowed,50000 to 250000,New england,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Government,Elementary and secondary schools,59
400,2014,Female,White,64,Never married,Big-city suburb,South atlantic,Yes,Not applicable,Not applicable,Bachelor,Not applicable,Not applicable,Not applicable,Not applicable,Refused,40,Working fulltime,Someone else,Government,Business support services,0
400,2012,Male,White,28,Never married,Town lt 50000,E. nor. central,No,Yes,No,Bachelor,Engineering,58%+,468+,"Public, 4-year or above",$25000 or more,50,Working fulltime,Someone else,Private,"Electronic component and product manufacturing, n.e.c.",95
401,2014,Female,White,41,Married,Big-city suburb,South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,0,Retired,Someone else,Private,Bus service and urban transit,36
401,2012,Male,White,35,Married,50000 to 250000,E. nor. central,Yes,No,No,Bachelor,Not applicable,Not applicable,468+,"Public, 2-year",$25000 or more,55,Working fulltime,Someone else,Private,Religious organizations,89
402,2014,Male,White,58,Divorced,Big-city suburb,South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,60,Working fulltime,Someone else,Private,Construction,59
402,2012,Male,Other,37,Never married,Town lt 50000,Foreign,No,No,No,Graduate,Computer science,Not applicable,Not applicable,Not applicable,$25000 or more,45,Working fulltime,Someone else,Private,Wired telecommunications carriers,96
403,2014,Female,White,52,Married,Big-city suburb,South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,42,Working fulltime,Someone else,Private,Not specified wholesale trade,65
403,2012,Male,White,84,Widowed,Town lt 50000,Pacific,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Private,"Other amusement, gambling, and recreation industries",96
404,2012,Male,White,21,Never married,City gt 250000,Pacific,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,School,Not applicable,Not applicable,Not applicable,0
404,2014,Female,White,63,Divorced,Big-city suburb,New england,Yes,Not applicable,Not applicable,Graduate,Environment science/studies,58%+,468+,"Public, 4-year or above",$25000 or more,0,"Unempl, laid off",Someone else,Private,"Management, scientific, and technical consulting services",99
405,2012,Male,Other,49,Married,50000 to 250000,Pacific,No,No,No,Bachelor,General sciences,58%+,468+,"Private not-for-profit, 4-year or above",$25000 or more,40,Working fulltime,Someone else,Private,"Navigational, measuring, electromedical, and control instruments manufacturing",86
405,2014,Male,White,70,Married,Big-city suburb,W. nor. central,Yes,No,No,Bachelor,Not applicable,58%+,468+,"Private not-for-profit, 4-year or above",$25000 or more,45,Working fulltime,Someone else,Private,"Colleges and universities, including junior colleges",99
406,2012,Female,Other,42,Married,Farm,Foreign,No,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Keeping house,Not applicable,Not applicable,Not applicable,0
406,2014,Male,White,63,Never married,City gt 250000,Middle atlantic,Yes,Not applicable,Not applicable,Graduate,Economics,58%+,468+,"Private not-for-profit, 4-year or above",$25000 or more,40,Working fulltime,Someone else,Government,Administration of economic programs and space research,100
407,2012,Female,White,69,Married,50000 to 250000,Pacific,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Private,Offices of physicians,63
407,2014,Female,White,31,Married,City gt 250000,Mountain,Yes,No,No,Bachelor,Not applicable,58%+,468+,"Private not-for-profit, 4-year or above",$25000 or more,50,Working fulltime,Someone else,Private,Printing and related support activities,82
408,2012,Female,White,32,Married,Town lt 50000,South atlantic,Yes,No,No,Bachelor,Biology,40-57.9%,468+,"Private not-for-profit, 4-year or above",$25000 or more,50,Working fulltime,Someone else,Private,Legal services,82
408,2014,Male,White,88,Married,City gt 250000,New england,Yes,Not applicable,Not applicable,Graduate,Law,58%+,468+,"Private not-for-profit, 4-year or above",0,0,Retired,Self-employed,Private,Legal services,99
409,2012,Female,Black,69,Married,Town lt 50000,South atlantic,Yes,Not applicable,Not applicable,Graduate,Not applicable,40-57.9%,468+,"Public, 4-year or above",$25000 or more,0,Retired,Someone else,Government,Elementary and secondary schools,99
409,2014,Female,Black,60,Married,Town lt 50000,Middle atlantic,Yes,No,No,Graduate,Ethnic studies,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Private,"Colleges and universities, including junior colleges",99
410,2012,Female,White,48,Married,City gt 250000,Pacific,Yes,Not applicable,Not applicable,Bachelor,Psychology,40-57.9%,468+,"Public, 4-year or above",0,0,"Unempl, laid off",Someone else,Private,Computer systems design and related services,81
410,2014,Female,White,34,Married,Town lt 50000,W. nor. central,Yes,No,No,Bachelor,Political science,58%+,468+,"Private not-for-profit, 4-year or above",$25000 or more,1,Working fulltime,Someone else,Private,Elementary and secondary schools,99
411,2012,Male,White,20,Never married,50000 to 250000,Pacific,Yes,No,No,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,$1000 to 2999,20,Working parttime,Someone else,Private,"Independent artists, performing arts, spectator sports, and related industries",78
411,2014,Male,White,35,Married,City gt 250000,Foreign,No,No,No,Graduate,Law,58%+,468+,"Private not-for-profit, 4-year or above",$25000 or more,50,Working fulltime,Someone else,Private,Legal services,99
412,2014,Female,White,72,Never married,50000 to 250000,South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$20000 - 24999,37,Working fulltime,Someone else,Government,Elementary and secondary schools,59
412,2012,Female,White,51,Married,Big-city suburb,Pacific,Yes,Yes,No,Graduate,Not applicable,40-57.9%,468+,"Public, 4-year or above",$25000 or more,50,Working fulltime,Someone else,Government,Elementary and secondary schools,99
413,2014,Female,White,77,Widowed,Town lt 50000,E. nor. central,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Private,Hospitals,41
413,2012,Male,White,60,Married,50000 to 250000,Pacific,Yes,No,No,Graduate,Liberal arts,0-39.9%,468+,"Private not-for-profit, 4-year or above",$15000 - 19999,12,Working parttime,Self-employed,Private,Nursing care facilities,98
414,2014,Male,White,49,Married,City gt 250000,E. nor. central,No,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,30,Working parttime,Self-employed,Private,Construction,16
414,2012,Female,White,59,Married,50000 to 250000,Pacific,Yes,No,No,Bachelor,Not applicable,40-57.9%,468+,"Public, 4-year or above",$25000 or more,32,Working parttime,Someone else,Private,Newspaper publishers,79
415,2012,Female,White,89 or older,Widowed,City gt 250000,Pacific,Yes,Not applicable,Not applicable,Bachelor,History,40-57.9%,468+,"Private not-for-profit, 4-year or above",Not applicable,Not applicable,Keeping house,Someone else,Private,Household appliance stores,58
415,2014,Female,Black,38,Divorced,50000 to 250000,Middle atlantic,Yes,No answer,No answer,Bachelor,Business administration,58%+,468+,"Public, 4-year or above",$25000 or more,40,Working fulltime,Someone else,Private,Insurance carriers and related activities,76
416,2012,Female,White,18,Never married,Town lt 50000,Pacific,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$4000 to 4999,16,Working parttime,Someone else,Private,Building material and supplies dealers,51
416,2014,Female,White,40,Never married,Big-city suburb,Middle atlantic,Yes,Not applicable,Not applicable,Bachelor,Finance,58%+,468+,"Public, 4-year or above",$25000 or more,60,Working fulltime,Someone else,Government,"Accounting, tax preparation, bookkeeping, and payroll services",94
417,2012,Female,White,62,Married,"Country,nonfarm",Pacific,Yes,Not applicable,Not applicable,Bachelor,Not applicable,58%+,468+,"Private not-for-profit, 4-year or above",0,0,Retired,Someone else,Private,Banking and related activities,83
417,2014,Female,Black,37,Married,50000 to 250000,South atlantic,Yes,No,No,Bachelor,Business administration,40-57.9%,468+,"Public, 4-year or above",$20000 - 24999,15,Working parttime,Self-employed,Private,Computer systems design and related services,91
418,2012,Female,White,54,Married,50000 to 250000,Pacific,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$10000 - 14999,9,Working parttime,Self-employed,Private,Real estate,56
418,2014,Female,White,35,Married,City gt 250000,Foreign,No,No,No,Bachelor,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,45,Working fulltime,Someone else,Private,"Management, scientific, and technical consulting services",91
419,2012,Female,Black,19,Never married,Big-city suburb,W. sou. central,Yes,Yes,Yes,High school,Not applicable,Not applicable,Not applicable,Not applicable,$5000 to 5999,27,Working parttime,Someone else,Private,Shoe stores,56
419,2014,Female,Black,62,Widowed,50000 to 250000,South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Private,Hospitals,56
420,2012,Female,Black,38,Married,City gt 250000,W. sou. central,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Private,"Accounting, tax preparation, bookkeeping, and payroll services",65
420,2014,Male,Black,32,Never married,City gt 250000,South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Government,National security and international affairs,81
421,2014,Male,White,70,Married,Town lt 50000,E. nor. central,Yes,Not applicable,Not applicable,Bachelor,Business administration,58%+,468+,"Public, 4-year or above",$5000 to 5999,15,Working parttime,Self-employed,Private,Construction,20
421,2012,Male,White,31,Married,Big-city suburb,South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Private,Computer systems design and related services,81
422,2014,Male,Other,44,Never married,50000 to 250000,Middle atlantic,Yes,Not applicable,Not applicable,Bachelor,Business administration,0-39.9%,468+,"Private not-for-profit, 4-year or above",$1000 to 2999,40,Working fulltime,Someone else,Private,Business support services,49
422,2012,Female,White,51,Never married,Town lt 50000,W. sou. central,Yes,Not applicable,Not applicable,Graduate,Not applicable,58%+,468+,"Public, 4-year or above",$25000 or more,0,"Unempl, laid off",Someone else,Private,Computer systems design and related services,92
423,2014,Male,White,60,Married,City gt 250000,Middle atlantic,Yes,No answer,No answer,Graduate,Journalism,58%+,468+,"Public, 4-year or above",Refused,40,Working fulltime,Someone else,Private,No answer,0
423,2012,Male,White,23,Never married,City gt 250000,W. sou. central,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$15000 - 19999,33,Working parttime,Someone else,Private,Services to buildings and dwellings,22
424,2012,Female,White,48,Never married,Town lt 50000,W. nor. central,Yes,No,Yes,Bachelor,Computer science,40-57.9%,468+,"Public, 4-year or above",$25000 or more,60,Working fulltime,Someone else,Private,Other telecommunications services,83
424,2014,Female,Other,57,Married,Big-city suburb,Foreign,No,No,Yes,Graduate,Not applicable,58%+,468+,"Public, 4-year or above",$25000 or more,40,Working fulltime,Someone else,Private,No answer,89
425,2012,Female,Black,45,Divorced,Big-city suburb,Pacific,Yes,No,No,Junior college,Not applicable,Not applicable,Not applicable,Not applicable,$15000 - 19999,70,Working fulltime,Someone else,Private,Home health care services,41
425,2014,Male,White,55,Never married,Big-city suburb,South atlantic,Yes,Not applicable,Not applicable,Graduate,Not applicable,58%+,468+,"Public, 4-year or above",Not applicable,Not applicable,Keeping house,Someone else,Private,Scientific research and development services,86
426,2012,Male,White,20,Never married,Town lt 50000,W. sou. central,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Refused,0,"Unempl, laid off",Someone else,Private,No answer,0
426,2014,Male,Black,39,Married,City gt 250000,South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,42,Working fulltime,Someone else,Private,Bus service and urban transit,36
427,2014,Male,Black,52,Married,City gt 250000,Foreign,No,No,Yes,Bachelor,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,40,Working fulltime,Self-employed,Private,No answer,31
427,2012,Female,White,70,Married,Town lt 50000,Foreign,No,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Government,Hospitals,98
428,2014,Female,Black,22,Never married,City gt 250000,South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,40,Temp not working,Someone else,Private, restaurants and other food services,35
428,2012,Female,White,58,Married,City gt 250000,W. sou. central,Yes,No,No,Bachelor,Not applicable,40-57.9%,468+,"Public, 4-year or above",$10000 - 14999,Not applicable,Working fulltime,Someone else,Government,Elementary and secondary schools,56
429,2014,Male,White,42,Separated,City gt 250000,Foreign,No,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,$20000 - 24999,30,Working parttime,Self-employed,Private,Construction,28
